관할서,연도,crm_wthr_눈,crm_wthr_만월,crm_wthr_맑음,crm_wthr_미상,crm_wthr_바람,crm_wthr_비,crm_wthr_안개,crm_wthr_암흑,crm_wthr_폭설,crm_wthr_폭풍우,crm_wthr_흐림,crm_clue_고발,crm_clue_고소,crm_clue_기타,crm_clue_변사체,crm_clue_불심검문,crm_clue_여죄,crm_clue_자수,crm_clue_진정,crm_clue_타인신고,crm_clue_탄원,crm_clue_탐문정보,crm_clue_투서,crm_clue_피해자신고,crm_clue_피해품발견,crm_clue_현행범,vic_sx_1,vic_sx_2,vic_sx_3,vic_age_0_12세,vic_age_10대,vic_age_2_30대,vic_age_4_50대,vic_age_60세초과,vic_age_미상,crm_tm_미상,crm_tm_새벽,crm_tm_오전,crm_tm_오후,crm_tm_저녁,법질서_발생수,법질서_검거수,법질서_검거율,화재건수,화재_사망,화재_부상,화재_인명피해_계,화재_부동산피해_천원,화재_동산피해_천원,화재_재산피해_천원,화재_재산피해_건당천원,cctv_개수,공원_개수,배치인원_수,보안등_개수,비상벨_개수,유흥업소_개수,일인가구수,자살건수,자살_사망률_10만명당,자살_연령표준화사망률_10만명당,총_인구수,기초수급_19세이하,기초수급_20_34세,기초수급_35_59세,기초수급_60세이상,기초수급_총합,외국인수,score_법질서
경남마산동부경찰서,2018,0.0,5.0,758.0,1374.0,0.0,9.0,0.0,10.0,0.0,1.0,11.0,183.0,547.0,101.0,2.0,2.0,5.0,2.0,638.0,92.0,0.0,26.0,0.0,382.0,0.0,188.0,1051.0,620.0,497.0,9.0,118.0,669.0,691.0,183.0,498.0,940.0,107.0,307.0,444.0,370.0,3532,3497,0.99,76.0,2,4.0,6.0,148990.0,109214.0,258204.0,3397.0,1218,65,185,5647,11.0,337,20069.0,15,15.1,13.4,197683,76386,17619,86290,108663,288958,4234,70.35
경남마산중부경찰서,2018,0.0,8.0,467.0,1137.0,0.0,5.0,0.0,5.0,0.0,0.0,13.0,118.0,415.0,231.0,1.0,8.0,27.0,3.0,379.0,52.0,0.0,35.0,0.0,252.0,1.0,113.0,671.0,434.0,530.0,4.0,55.0,373.0,505.0,163.0,535.0,751.0,127.0,200.0,294.0,263.0,6343,4881,0.77,105.0,0,2.0,2.0,236060.0,209335.0,445395.0,4242.0,913,55,142,6843,13.0,487,21903.0,14,15.6,16.5,197683,76386,17619,86290,108663,288958,3580,69.75
경남진주경찰서,2018,0.0,0.0,1167.0,2219.0,0.0,6.0,0.0,38.0,0.0,0.0,4.0,253.0,1030.0,127.0,6.0,6.0,35.0,4.0,1199.0,202.0,0.0,42.0,0.0,338.0,3.0,189.0,1648.0,937.0,849.0,20.0,237.0,967.0,1088.0,275.0,847.0,1948.0,157.0,384.0,506.0,439.0,5107,3871,0.758,234.0,0,2.0,2.0,591462.0,603250.0,1194712.0,5106.0,2709,127,289,6153,40.0,370,42140.0,24,13.8,9.6,352333,38161,9848,44325,46154,138488,8855,69.25
경남진해경찰서,2018,0.0,0.0,467.0,1119.0,0.0,4.0,0.0,1.0,0.0,1.0,2.0,168.0,456.0,55.0,0.0,12.0,3.0,3.0,479.0,106.0,0.0,20.0,0.0,189.0,2.0,101.0,650.0,423.0,521.0,9.0,58.0,391.0,487.0,123.0,526.0,674.0,104.0,395.0,191.0,230.0,3912,3825,0.978,132.0,0,3.0,3.0,188324.0,767869.0,956193.0,7244.0,1142,106,137,3218,39.0,304,19964.0,12,12.8,12.3,190276,76386,17619,86290,108663,288958,5954,73.2
경남창원서부경찰서,2018,0.0,0.0,661.0,1464.0,0.0,10.0,0.0,73.0,0.0,0.0,13.0,152.0,534.0,146.0,0.0,10.0,4.0,5.0,771.0,93.0,0.0,39.0,1.0,317.0,1.0,148.0,1059.0,615.0,547.0,11.0,132.0,614.0,779.0,133.0,552.0,1044.0,139.0,280.0,436.0,322.0,5005,3937,0.787,157.0,0,4.0,4.0,464360.0,739830.0,1204190.0,7670.0,1050,140,155,6078,11.0,332,21387.0,17,13.7,12.2,184502,76386,17619,86290,108663,288958,4523,66.94999999999999
경남창원중부경찰서,2018,0.0,0.0,899.0,2340.0,0.0,11.0,0.0,33.0,0.0,0.0,6.0,211.0,937.0,184.0,0.0,15.0,33.0,1.0,975.0,134.0,0.0,27.0,0.0,626.0,2.0,144.0,1634.0,894.0,761.0,8.0,177.0,1108.0,1037.0,190.0,769.0,1599.0,171.0,499.0,573.0,447.0,4538,3310,0.7290000000000001,104.0,0,6.0,6.0,93472.0,191939.0,285411.0,2744.0,1429,136,201,2895,21.0,566,27203.0,18,16.2,15.4,295731,76386,17619,86290,108663,288958,8536,69.6
서울강남경찰서,2018,6.0,3.0,2009.0,6125.0,1.0,48.0,0.0,71.0,0.0,2.0,18.0,362.0,3327.0,450.0,3.0,176.0,257.0,18.0,1569.0,268.0,0.0,137.0,3.0,1163.0,9.0,541.0,3437.0,2535.0,2311.0,6.0,188.0,2849.0,2167.0,596.0,2477.0,4424.0,534.0,1007.0,1222.0,1096.0,3166,3120,0.985,436.0,0,23.0,23.0,670429.0,954554.0,1624983.0,3727.0,3095,24,421,5031,604.0,297,45774.0,54,19.3,18.4,324936,23317,12601,36713,53373,126004,7760,71.6
서울강동경찰서,2018,4.0,1.0,1478.0,2374.0,2.0,23.0,0.0,50.0,0.0,2.0,23.0,284.0,939.0,259.0,3.0,45.0,6.0,8.0,968.0,204.0,1.0,38.0,2.0,691.0,0.0,509.0,1743.0,1106.0,1108.0,19.0,124.0,1063.0,1199.0,429.0,1123.0,1617.0,307.0,526.0,739.0,768.0,2828,1857,0.657,324.0,4,15.0,19.0,236181.0,304444.0,540625.0,1669.0,2619,72,393,7505,1.0,213,42126.0,28,13.0,11.6,414231,26182,8745,34526,41823,111276,8764,68.4
서울강북경찰서,2018,2.0,0.0,1156.0,2366.0,1.0,25.0,0.0,306.0,0.0,2.0,35.0,205.0,872.0,252.0,1.0,42.0,6.0,10.0,873.0,273.0,0.0,36.0,0.0,721.0,2.0,600.0,1773.0,1149.0,971.0,22.0,222.0,1240.0,1107.0,320.0,982.0,1510.0,439.0,491.0,741.0,712.0,2155,1567,0.727,203.0,4,2.0,6.0,104658.0,112180.0,216838.0,1068.0,2299,41,347,8430,22.0,184,40872.0,26,16.1,13.9,309138,40657,14166,54794,69957,179574,7015,66.15
서울강서경찰서,2018,2.0,1.0,2304.0,3941.0,2.0,45.0,0.0,85.0,0.0,0.0,15.0,517.0,1646.0,490.0,1.0,83.0,20.0,8.0,1435.0,375.0,0.0,60.0,2.0,1055.0,3.0,700.0,2697.0,1824.0,1874.0,26.0,226.0,1866.0,1827.0,546.0,1904.0,2521.0,484.0,1078.0,1274.0,1038.0,1764,1751,0.993,383.0,2,18.0,20.0,196115.0,197286.0,393401.0,1027.0,2377,139,500,8573,766.0,289,73011.0,46,15.1,13.8,578539,43743,21221,76671,105084,246719,13192,66.4
서울관악경찰서,2018,3.0,0.0,1833.0,4269.0,9.0,48.0,0.0,152.0,0.0,0.0,40.0,468.0,1283.0,520.0,0.0,179.0,11.0,10.0,1358.0,453.0,0.0,51.0,0.0,1137.0,3.0,881.0,2650.0,1857.0,1847.0,161.0,246.0,2199.0,1328.0,548.0,1872.0,2426.0,644.0,788.0,1277.0,1219.0,5778,5398,0.934,337.0,1,20.0,21.0,395475.0,421087.0,816562.0,2423.0,4825,78,493,11882,890.0,272,112733.0,34,13.8,12.0,510303,30517,14156,48673,63013,156359,30267,65.75
서울광진경찰서,2018,1.0,0.0,1538.0,2653.0,0.0,42.0,0.0,62.0,0.0,0.0,34.0,356.0,1032.0,383.0,2.0,107.0,25.0,6.0,851.0,222.0,0.0,38.0,2.0,843.0,3.0,460.0,1698.0,1282.0,1350.0,25.0,213.0,1368.0,1067.0,287.0,1370.0,1527.0,359.0,711.0,866.0,867.0,4393,3745,0.852,203.0,0,7.0,7.0,315690.0,342495.0,658185.0,3242.0,6459,34,380,9132,1449.0,93,56337.0,23,12.8,11.5,362304,25059,7424,28059,32091,92633,22554,70.15
서울구로경찰서,2018,1.0,0.0,2121.0,2859.0,0.0,45.0,0.0,53.0,0.0,0.0,28.0,357.0,1449.0,332.0,0.0,31.0,22.0,6.0,925.0,205.0,1.0,64.0,0.0,1144.0,2.0,569.0,2168.0,1392.0,1547.0,29.0,167.0,1403.0,1463.0,459.0,1586.0,2114.0,311.0,633.0,1116.0,933.0,3407,3680,1.08,263.0,2,3.0,5.0,74308.0,165019.0,239327.0,910.0,3659,45,395,7816,722.0,107,44151.0,32,15.7,14.0,433765,22181,6584,26635,39943,95343,54089,64.9
서울금천경찰서,2018,0.0,0.0,1432.0,2971.0,2.0,28.0,0.0,81.0,0.0,1.0,23.0,244.0,1402.0,359.0,0.0,167.0,26.0,16.0,906.0,167.0,0.0,53.0,0.0,608.0,3.0,587.0,1778.0,1029.0,1731.0,19.0,144.0,1149.0,1185.0,289.0,1752.0,1740.0,293.0,662.0,1006.0,837.0,3483,3365,0.966,168.0,0,8.0,8.0,55351.0,148455.0,203806.0,1213.0,4226,50,274,6260,511.0,118,34564.0,19,16.7,12.0,249344,23773,8196,33613,42754,108336,32556,66.2
서울남대문경찰서,2018,1.0,0.0,811.0,1282.0,0.0,20.0,0.0,25.0,0.0,0.0,16.0,181.0,680.0,139.0,0.0,28.0,5.0,2.0,489.0,78.0,0.0,11.0,0.0,344.0,2.0,196.0,901.0,675.0,579.0,0.0,51.0,708.0,617.0,178.0,601.0,754.0,51.0,404.0,638.0,308.0,2849,2574,0.903,275.0,0,23.0,23.0,558830.0,698175.0,1257005.0,4571.0,725,16,186,1137,161.0,88,3473.0,7,11.4,9.7,75988,7397,2133,13901,23622,47053,2450,68.55000000000001
서울노원경찰서,2018,3.0,6.0,1370.0,2860.0,1.0,35.0,0.0,75.0,0.0,2.0,41.0,358.0,893.0,259.0,1.0,32.0,4.0,6.0,1289.0,303.0,1.0,148.0,1.0,768.0,1.0,329.0,1874.0,1254.0,1265.0,30.0,335.0,1202.0,1183.0,363.0,1280.0,2132.0,309.0,480.0,741.0,731.0,2091,2410,1.153,229.0,2,10.0,12.0,105994.0,225006.0,331000.0,1445.0,1998,167,415,4078,61.0,63,51280.0,43,15.4,12.5,534096,53212,27256,90159,114484,285111,7697,70.44999999999997
서울도봉경찰서,2018,1.0,0.0,824.0,1947.0,1.0,9.0,0.0,32.0,0.0,0.0,35.0,235.0,880.0,148.0,1.0,38.0,9.0,3.0,720.0,165.0,0.0,55.0,1.0,385.0,2.0,207.0,1212.0,854.0,783.0,34.0,129.0,745.0,877.0,272.0,792.0,1393.0,170.0,369.0,513.0,404.0,5585,5127,0.9179999999999999,237.0,0,8.0,8.0,85113.0,116385.0,201498.0,850.0,10,71,273,6337,622.0,68,30848.0,24,13.9,14.3,328243,35606,10465,36914,43336,126321,4560,66.9
서울동대문경찰서,2018,1.0,0.0,1470.0,2644.0,2.0,45.0,0.0,125.0,0.0,3.0,37.0,407.0,1100.0,289.0,1.0,64.0,14.0,6.0,959.0,198.0,0.0,152.0,0.0,617.0,1.0,519.0,1867.0,1136.0,1324.0,18.0,177.0,1199.0,1142.0,457.0,1334.0,1628.0,286.0,763.0,885.0,765.0,4327,3668,0.848,203.0,1,3.0,4.0,179873.0,529614.0,709487.0,3495.0,26,14,429,10730,2.0,150,55593.0,29,16.9,13.8,358141,26725,8825,39066,60913,135529,22318,65.44999999999999
서울동작경찰서,2018,3.0,3.0,1164.0,2207.0,0.0,32.0,0.0,33.0,0.0,1.0,47.0,267.0,954.0,182.0,0.0,33.0,6.0,5.0,768.0,177.0,0.0,45.0,3.0,769.0,1.0,280.0,1451.0,1218.0,821.0,19.0,157.0,1213.0,916.0,353.0,832.0,1315.0,242.0,520.0,808.0,605.0,3328,3554,1.068,205.0,4,9.0,13.0,103520.0,209405.0,312925.0,1526.0,2033,53,353,8848,891.0,83,56872.0,28,14.0,12.0,397980,19659,7501,27251,39287,93698,19970,67.65
서울마포경찰서,2018,1.0,1.0,1818.0,3882.0,0.0,35.0,0.0,51.0,0.0,0.0,27.0,355.0,1388.0,461.0,0.0,148.0,43.0,8.0,1131.0,329.0,1.0,53.0,0.0,1217.0,3.0,678.0,2293.0,1758.0,1764.0,14.0,301.0,2112.0,1234.0,350.0,1804.0,2051.0,601.0,820.0,1342.0,1001.0,4525,3948,0.872,254.0,2,4.0,6.0,132459.0,150525.0,282984.0,1114.0,2317,82,458,7628,710.0,121,56837.0,27,14.0,12.5,368181,16051,8078,25907,37847,87883,14746,68.9
서울방배경찰서,2018,1.0,0.0,887.0,1232.0,0.0,14.0,0.0,18.0,0.0,0.0,6.0,138.0,571.0,150.0,1.0,266.0,4.0,3.0,486.0,51.0,0.0,5.0,1.0,392.0,0.0,90.0,852.0,600.0,706.0,12.0,126.0,582.0,510.0,212.0,716.0,840.0,111.0,344.0,533.0,330.0,3490,2963,0.8490000000000001,242.0,0,15.0,15.0,201149.0,646918.0,848067.0,3504.0,2691,25,141,3231,2.0,24,10750.0,26,11.6,10.5,136831,13609,5693,16649,21707,57658,2488,78.1
서울서대문경찰서,2018,1.0,1.0,1353.0,2518.0,1.0,19.0,0.0,31.0,0.0,0.0,35.0,224.0,743.0,289.0,0.0,63.0,37.0,8.0,1128.0,220.0,0.0,32.0,0.0,838.0,2.0,375.0,1592.0,1323.0,1044.0,19.0,248.0,1412.0,912.0,322.0,1046.0,1548.0,287.0,552.0,843.0,729.0,2683,2827,1.054,229.0,4,9.0,13.0,236471.0,7641030.0,7877501.0,34400.0,2938,58,322,6938,356.0,75,44795.0,23,14.6,11.2,318874,22177,6467,23246,35914,87804,16065,69.3
서울서부경찰서,2018,0.0,1.0,499.0,919.0,1.0,16.0,0.0,16.0,0.0,0.0,6.0,113.0,375.0,88.0,0.0,22.0,2.0,3.0,308.0,102.0,0.0,35.0,0.0,255.0,0.0,155.0,611.0,441.0,406.0,11.0,77.0,400.0,427.0,135.0,408.0,556.0,109.0,230.0,311.0,252.0,7365,5733,0.778,214.0,5,10.0,15.0,217662.0,201841.0,419503.0,1960.0,1870,46,221,3546,191.0,96,21874.0,39,15.9,13.4,185584,48561,15383,52463,71341,187748,3559,67.65
서울서초경찰서,2018,4.0,0.0,1761.0,4553.0,1.0,23.0,0.0,51.0,0.0,2.0,14.0,452.0,2922.0,203.0,0.0,26.0,12.0,11.0,769.0,207.0,2.0,56.0,3.0,1286.0,5.0,455.0,2962.0,1808.0,1639.0,17.0,192.0,1996.0,1896.0,637.0,1671.0,2908.0,339.0,1092.0,1247.0,823.0,5815,4454,0.7659999999999999,242.0,0,15.0,15.0,201149.0,646918.0,848067.0,3504.0,4237,88,339,4405,1.0,115,30613.0,26,11.6,10.5,297120,13609,5693,16649,21707,57658,6224,76.1
서울성동경찰서,2018,0.0,0.0,1125.0,2184.0,1.0,23.0,0.0,34.0,0.0,1.0,31.0,268.0,1028.0,188.0,3.0,35.0,6.0,7.0,753.0,110.0,0.0,51.0,0.0,661.0,0.0,289.0,1444.0,1051.0,904.0,8.0,131.0,1196.0,886.0,260.0,918.0,1595.0,171.0,510.0,667.0,456.0,4172,4098,0.982,212.0,0,12.0,12.0,162939.0,453146.0,616085.0,2906.0,3241,54,320,6228,751.0,62,40706.0,21,13.7,12.2,306796,17742,6463,25887,34515,84607,13555,70.44999999999997
서울성북경찰서,2018,2.0,2.0,803.0,1235.0,0.0,19.0,0.0,30.0,0.0,0.0,9.0,117.0,472.0,86.0,0.0,30.0,2.0,2.0,511.0,114.0,0.0,19.0,2.0,602.0,1.0,142.0,968.0,697.0,435.0,22.0,129.0,785.0,552.0,173.0,439.0,854.0,131.0,345.0,422.0,348.0,2134,1945,0.9109999999999999,215.0,0,10.0,10.0,184258.0,303307.0,487565.0,2268.0,2015,29,252,7048,482.0,36,34379.0,35,15.8,13.6,255090,34363,11267,40341,57460,143431,10021,71.30000000000003
서울송파경찰서,2018,4.0,0.0,2897.0,4439.0,6.0,52.0,0.0,76.0,0.0,2.0,71.0,441.0,2062.0,401.0,1.0,84.0,39.0,9.0,1472.0,391.0,0.0,63.0,1.0,1915.0,0.0,668.0,3285.0,2295.0,1967.0,51.0,366.0,2305.0,2133.0,675.0,2017.0,3336.0,511.0,958.0,1430.0,1312.0,2158,1704,0.79,340.0,0,28.0,28.0,390994.0,579257.0,970251.0,2854.0,2096,140,538,8817,834.0,241,63451.0,34,10.1,9.3,638167,31969,10612,33782,40033,116396,13112,69.05
서울수서경찰서,2018,3.0,0.0,1256.0,3837.0,1.0,22.0,0.0,44.0,0.0,1.0,10.0,324.0,2265.0,236.0,0.0,51.0,11.0,7.0,1025.0,141.0,0.0,36.0,1.0,660.0,1.0,416.0,2262.0,1440.0,1472.0,13.0,154.0,1412.0,1563.0,528.0,1504.0,2616.0,253.0,713.0,919.0,673.0,1336,1521,1.138,436.0,0,23.0,23.0,670429.0,954554.0,1624983.0,3727.0,3124,70,312,3031,696.0,115,20383.0,54,19.3,18.4,217428,23317,12601,36713,53373,126004,2846,74.35
서울양천경찰서,2018,2.0,0.0,1401.0,2235.0,0.0,34.0,0.0,93.0,0.0,0.0,36.0,271.0,1068.0,175.0,0.0,49.0,12.0,1.0,896.0,232.0,1.0,35.0,1.0,670.0,2.0,388.0,1638.0,1109.0,1054.0,33.0,183.0,958.0,1176.0,383.0,1068.0,1332.0,229.0,657.0,855.0,728.0,4930,4299,0.872,219.0,1,11.0,12.0,136819.0,220750.0,357569.0,1633.0,2921,95,376,7113,624.0,72,34304.0,22,9.4,7.6,445591,34353,9758,35547,46213,125871,8418,70.80000000000003
서울영등포경찰서,2018,2.0,0.0,2303.0,4178.0,1.0,29.0,0.0,35.0,0.0,1.0,17.0,360.0,1735.0,306.0,0.0,163.0,94.0,8.0,1050.0,261.0,0.0,50.0,1.0,1698.0,4.0,836.0,2831.0,1805.0,1930.0,39.0,234.0,1966.0,1776.0,595.0,1956.0,2365.0,429.0,1093.0,1399.0,1280.0,3959,3479,0.879,258.0,4,23.0,27.0,228065.0,476128.0,704193.0,2729.0,3775,44,513,7951,952.0,342,53477.0,25,13.8,12.6,395286,14291,4965,27787,42434,89477,56483,67.25
서울용산경찰서,2018,1.0,0.0,1303.0,2344.0,1.0,15.0,0.0,107.0,0.0,0.0,31.0,239.0,873.0,342.0,0.0,36.0,9.0,12.0,770.0,159.0,0.0,39.0,1.0,804.0,4.0,514.0,1528.0,1175.0,1099.0,10.0,118.0,1398.0,887.0,275.0,1114.0,1299.0,445.0,506.0,939.0,613.0,2989,3186,1.0659999999999998,211.0,1,6.0,7.0,123288.0,271615.0,394903.0,1872.0,2051,45,343,9980,996.0,122,34240.0,18,16.0,14.6,226938,12180,3455,21583,32765,69983,20841,70.65
서울은평경찰서,2018,1.0,1.0,990.0,1414.0,1.0,17.0,0.0,106.0,0.0,0.0,8.0,155.0,595.0,171.0,0.0,80.0,5.0,4.0,602.0,127.0,0.0,43.0,0.0,475.0,0.0,281.0,1039.0,782.0,717.0,16.0,119.0,734.0,706.0,239.0,724.0,933.0,174.0,360.0,621.0,450.0,1703,2028,1.1909999999999998,214.0,5,10.0,15.0,217662.0,201841.0,419503.0,1960.0,1796,54,203,4502,255.0,117,30414.0,39,15.9,13.4,297613,48561,15383,52463,71341,187748,5338,71.05000000000003
서울종로경찰서,2018,0.0,2.0,928.0,1508.0,1.0,19.0,0.0,69.0,0.0,1.0,36.0,159.0,625.0,189.0,0.0,98.0,5.0,9.0,581.0,124.0,1.0,24.0,0.0,446.0,2.0,301.0,1118.0,723.0,723.0,5.0,65.0,736.0,742.0,276.0,740.0,899.0,152.0,381.0,597.0,535.0,1458,1538,1.055,254.0,14,22.0,36.0,279955.0,294345.0,574300.0,2261.0,805,29,285,5259,68.0,150,34042.0,8,10.6,9.6,77077,6604,2155,12664,22408,43831,3395,64.35
서울종암경찰서,2018,1.0,0.0,591.0,845.0,0.0,15.0,0.0,19.0,0.0,0.0,9.0,94.0,339.0,140.0,1.0,26.0,2.0,7.0,282.0,97.0,0.0,31.0,0.0,309.0,0.0,152.0,605.0,434.0,441.0,14.0,69.0,416.0,389.0,149.0,443.0,523.0,114.0,226.0,339.0,278.0,1171,1667,1.4240000000000002,215.0,0,10.0,10.0,184258.0,303307.0,487565.0,2268.0,1855,22,176,5751,442.0,21,23329.0,35,15.8,13.6,180778,34363,11267,40341,57460,143431,6752,69.44999999999999
서울중랑경찰서,2018,3.0,0.0,1645.0,2257.0,0.0,43.0,0.0,111.0,0.0,0.0,28.0,289.0,718.0,312.0,0.0,123.0,43.0,4.0,671.0,293.0,0.0,86.0,1.0,902.0,5.0,640.0,1616.0,1124.0,1347.0,15.0,180.0,1034.0,1136.0,357.0,1365.0,1519.0,396.0,614.0,745.0,813.0,7950,5707,0.718,254.0,2,8.0,10.0,103281.0,98140.0,201421.0,793.0,4469,54,406,8132,1682.0,115,49207.0,26,12.9,10.1,391668,48897,12032,54011,67751,182691,9132,64.65
서울중부경찰서,2018,3.0,1.0,1144.0,1434.0,0.0,12.0,0.0,42.0,0.0,0.0,5.0,228.0,581.0,155.0,0.0,83.0,3.0,6.0,424.0,118.0,0.0,15.0,0.0,728.0,0.0,300.0,1129.0,732.0,780.0,3.0,92.0,783.0,750.0,224.0,789.0,938.0,164.0,409.0,654.0,476.0,6409,4549,0.71,275.0,0,23.0,23.0,558830.0,698175.0,1257005.0,4571.0,1563,14,236,4933,332.0,206,17884.0,7,11.4,9.7,102868,7397,2133,13901,23622,47053,10736,68.2
서울혜화경찰서,2018,2.0,0.0,789.0,1274.0,0.0,17.0,0.0,33.0,0.0,0.0,11.0,109.0,446.0,121.0,0.0,103.0,6.0,0.0,536.0,107.0,1.0,25.0,0.0,392.0,0.0,280.0,870.0,662.0,594.0,5.0,103.0,643.0,570.0,206.0,599.0,727.0,117.0,301.0,584.0,397.0,4591,5206,1.1340000000000001,254.0,14,22.0,36.0,279955.0,294345.0,574300.0,2261.0,784,13,213,4256,42.0,143,40058.0,8,10.6,9.6,75988,6604,2155,12664,22408,43831,9617,60.85
충남세종경찰서,2018,2.0,0.0,266.0,1895.0,0.0,2.0,0.0,35.0,0.0,0.0,4.0,236.0,744.0,36.0,2.0,3.0,4.0,1.0,629.0,127.0,2.0,14.0,0.0,342.0,0.0,64.0,1098.0,564.0,542.0,12.0,127.0,616.0,742.0,158.0,549.0,1231.0,73.0,261.0,384.0,255.0,4557,3716,0.815,236.0,3,50.0,53.0,8548417.0,1773184.0,10321601.0,43736.0,2527,88,178,10410,39.0,66,35763.0,21,14.2,12.2,312374,13824,3147,12756,17874,47601,8187,70.3
경기수원남부경찰서,2019,2.0,0.0,2399.0,3858.0,0.0,41.0,0.0,162.0,0.0,0.0,26.0,229.0,946.0,213.0,1.0,283.0,129.0,8.0,2059.0,487.0,0.0,64.0,1.0,1514.0,5.0,549.0,3091.0,1787.0,1610.0,58.0,346.0,2532.0,1608.0,324.0,1620.0,2798.0,613.0,772.0,1046.0,1259.0,3399,2802,0.8240000000000001,152.0,1,9.0,10.0,1329649.0,2179521.0,3509170.0,31093.0,4719,148,395,3671,79.0,223,61423.0,29,16.2,16.1,509352,51840,16442,72299,107942,248523,16482,72.19999999999997
경기수원서부경찰서,2019,1.0,0.0,962.0,2382.0,1.0,8.0,0.0,38.0,0.0,1.0,27.0,158.0,745.0,176.0,2.0,64.0,11.0,5.0,709.0,244.0,0.0,16.0,2.0,880.0,2.0,406.0,1578.0,1062.0,780.0,24.0,253.0,1152.0,923.0,265.0,803.0,1229.0,261.0,520.0,711.0,699.0,2620,2735,1.044,164.0,0,16.0,16.0,503378.0,660681.0,1164059.0,9459.0,2919,102,258,3961,62.0,79,30996.0,61,20.75,17.85,294591,51840,16442,72299,107942,248523,27419,68.85
경기수원중부경찰서,2019,1.0,0.0,1508.0,2362.0,0.0,23.0,0.0,32.0,0.0,1.0,8.0,181.0,468.0,104.0,0.0,156.0,3.0,7.0,1264.0,306.0,3.0,34.0,0.0,880.0,1.0,528.0,1705.0,1228.0,1002.0,35.0,259.0,1191.0,1134.0,309.0,1007.0,1573.0,322.0,475.0,747.0,818.0,2624,2527,0.963,137.0,0,8.0,8.0,434748.0,428111.0,862859.0,8160.0,4447,96,333,6736,48.0,157,44304.0,20,14.4,13.2,390522,51840,16442,72299,107942,248523,22453,72.75
경남마산동부경찰서,2019,0.0,8.0,635.0,966.0,0.0,19.0,0.0,8.0,0.0,0.0,14.0,119.0,276.0,57.0,0.0,11.0,2.0,2.0,554.0,98.0,0.0,23.0,2.0,336.0,0.0,170.0,747.0,555.0,348.0,11.0,97.0,599.0,461.0,133.0,349.0,716.0,87.0,243.0,301.0,303.0,2100,1829,0.871,85.0,1,3.0,4.0,94566.0,125708.0,220274.0,2591.0,1218,65,185,5647,11.0,337,20331.0,15,15.5,18.8,192446,76041,21576,97938,139708,335263,4431,69.4
경남마산중부경찰서,2019,0.0,0.0,450.0,584.0,0.0,7.0,0.0,2.0,0.0,0.0,11.0,85.0,232.0,29.0,1.0,31.0,22.0,3.0,246.0,51.0,0.0,10.0,0.0,237.0,2.0,105.0,439.0,339.0,276.0,5.0,39.0,227.0,380.0,124.0,279.0,390.0,83.0,149.0,215.0,217.0,1570,1798,1.145,129.0,1,4.0,5.0,246655.0,979273.0,1225928.0,9503.0,913,55,142,6843,13.0,487,23383.0,10,11.2,11.7,192446,76041,21576,97938,139708,335263,3897,72.80000000000003
경남진주경찰서,2019,0.0,0.0,934.0,1560.0,0.0,9.0,0.0,42.0,0.0,0.0,8.0,188.0,607.0,82.0,1.0,11.0,14.0,6.0,819.0,178.0,1.0,24.0,0.0,379.0,1.0,242.0,1152.0,767.0,634.0,12.0,161.0,730.0,797.0,216.0,637.0,1281.0,157.0,279.0,407.0,429.0,9772,8304,0.85,260.0,1,3.0,4.0,496350.0,686827.0,1183177.0,4551.0,2709,127,289,6153,168.0,370,44003.0,28,16.1,15.1,354166,36456,10784,47973,57053,152266,9741,73.5
경남진해경찰서,2019,0.0,0.0,384.0,656.0,0.0,10.0,0.0,5.0,0.0,0.0,7.0,64.0,219.0,46.0,0.0,2.0,5.0,2.0,313.0,88.0,0.0,29.0,1.0,188.0,1.0,104.0,445.0,331.0,286.0,13.0,40.0,274.0,348.0,99.0,288.0,478.0,75.0,147.0,161.0,201.0,7547,6176,0.818,138.0,2,4.0,6.0,164990.0,381914.0,546904.0,3963.0,1142,106,137,3218,39.0,304,20962.0,15,15.9,16.0,190885,76041,21576,97938,139708,335263,6383,70.15
경남창원서부경찰서,2019,0.0,0.0,462.0,1048.0,0.0,3.0,0.0,62.0,0.0,0.0,16.0,93.0,258.0,58.0,0.0,6.0,12.0,2.0,612.0,97.0,1.0,16.0,0.0,291.0,1.0,144.0,748.0,472.0,371.0,8.0,81.0,482.0,530.0,116.0,374.0,732.0,121.0,159.0,282.0,297.0,5903,6433,1.09,163.0,0,5.0,5.0,202946.0,741553.0,944499.0,5794.0,1050,140,155,6078,11.0,332,22109.0,27,21.6,20.6,189712,76041,21576,97938,139708,335263,4670,71.9
경남창원중부경찰서,2019,0.0,0.0,641.0,1845.0,0.0,11.0,0.0,26.0,0.0,1.0,13.0,105.0,490.0,116.0,1.0,12.0,8.0,0.0,893.0,115.0,1.0,20.0,2.0,635.0,2.0,137.0,1332.0,738.0,467.0,12.0,188.0,965.0,756.0,139.0,477.0,1087.0,156.0,341.0,509.0,444.0,6280,4951,0.7879999999999999,132.0,1,2.0,3.0,213408.0,411795.0,625203.0,4736.0,1429,136,201,2895,21.0,566,28368.0,10,9.2,9.2,289815,76041,21576,97938,139708,335263,8720,73.69999999999997
