,jur_stn,연도,crm_wthr_눈,crm_wthr_만월,crm_wthr_맑음,crm_wthr_미상,crm_wthr_바람,crm_wthr_비,crm_wthr_안개,crm_wthr_암흑,crm_wthr_폭설,crm_wthr_폭풍우,crm_wthr_흐림,crm_clue_고발,crm_clue_고소,crm_clue_기타,crm_clue_변사체,crm_clue_불심검문,crm_clue_여죄,crm_clue_자수,crm_clue_진정,crm_clue_타인신고,crm_clue_탄원,crm_clue_탐문정보,crm_clue_투서,crm_clue_피해자신고,crm_clue_피해품발견,crm_clue_현행범,vic_sx_1,vic_sx_2,vic_sx_3,vic_age_0~12세,vic_age_10대,"vic_age_2,30대","vic_age_4,50대",vic_age_60세초과,vic_age_미상,crm_tm_미상,crm_tm_새벽,crm_tm_오전,crm_tm_오후,crm_tm_저녁,score_절폭
71,서울수서경찰서,2018,1.0,0.0,905.0,1550.0,0.0,24.0,0.0,79.0,0.0,2.0,18.0,3.0,362.0,24.0,0.0,0.0,11.0,2.0,120.0,45.0,0.0,18.0,0.0,1498.0,5.0,491.0,1518.0,846.0,215.0,12.0,151.0,1056.0,850.0,293.0,217.0,420.0,371.0,451.0,589.0,748.0,82.19999999999997
72,서울양천경찰서,2018,9.0,1.0,2145.0,953.0,1.0,60.0,0.0,134.0,0.0,0.0,65.0,2.0,161.0,12.0,0.0,2.0,48.0,2.0,109.0,77.0,0.0,19.0,0.0,2368.0,7.0,561.0,1902.0,1155.0,311.0,31.0,327.0,1014.0,1265.0,427.0,304.0,347.0,541.0,562.0,846.0,1072.0,79.4
73,서울영등포경찰서,2018,4.0,0.0,3328.0,1902.0,1.0,66.0,0.0,84.0,0.0,5.0,32.0,4.0,358.0,81.0,0.0,4.0,16.0,4.0,43.0,136.0,0.0,22.0,0.0,3623.0,8.0,1123.0,3396.0,1593.0,433.0,23.0,319.0,1913.0,2064.0,686.0,417.0,568.0,855.0,859.0,1313.0,1827.0,73.4
74,서울용산경찰서,2018,3.0,0.0,1468.0,1290.0,2.0,41.0,0.0,198.0,0.0,1.0,40.0,3.0,248.0,27.0,0.0,2.0,6.0,2.0,56.0,64.0,0.0,5.0,0.0,1723.0,16.0,891.0,1945.0,876.0,222.0,8.0,152.0,1440.0,931.0,295.0,217.0,325.0,886.0,529.0,572.0,731.0,77.7
75,서울은평경찰서,2018,2.0,13.0,1176.0,517.0,5.0,41.0,0.0,344.0,0.0,0.0,22.0,3.0,118.0,11.0,0.0,3.0,8.0,1.0,35.0,86.0,0.0,5.0,0.0,1430.0,5.0,415.0,1217.0,770.0,133.0,10.0,205.0,723.0,748.0,302.0,132.0,217.0,445.0,333.0,468.0,657.0,76.35
76,서울종로경찰서,2018,1.0,2.0,1097.0,507.0,0.0,28.0,0.0,112.0,0.0,1.0,92.0,1.0,116.0,13.0,1.0,1.0,9.0,2.0,41.0,49.0,0.0,8.0,0.0,1045.0,5.0,549.0,1209.0,475.0,156.0,4.0,57.0,729.0,635.0,263.0,152.0,213.0,324.0,237.0,448.0,618.0,82.35
77,서울종암경찰서,2018,2.0,0.0,746.0,541.0,0.0,36.0,0.0,47.0,0.0,0.0,15.0,1.0,83.0,20.0,0.0,1.0,9.0,3.0,15.0,48.0,0.0,4.0,0.0,894.0,1.0,308.0,812.0,476.0,99.0,4.0,90.0,396.0,580.0,219.0,98.0,128.0,239.0,226.0,325.0,469.0,74.1
78,서울중랑경찰서,2018,5.0,0.0,2276.0,1321.0,3.0,74.0,0.0,244.0,0.0,0.0,66.0,2.0,215.0,30.0,0.0,4.0,50.0,3.0,120.0,165.0,0.0,19.0,0.0,2533.0,1.0,847.0,2411.0,1312.0,266.0,29.0,289.0,1264.0,1553.0,597.0,257.0,420.0,706.0,615.0,929.0,1319.0,72.4
79,서울중부경찰서,2018,2.0,0.0,1670.0,319.0,0.0,32.0,0.0,199.0,0.0,2.0,22.0,1.0,100.0,48.0,0.0,2.0,9.0,0.0,10.0,33.0,0.0,9.0,0.0,1510.0,4.0,520.0,1390.0,746.0,110.0,3.0,96.0,929.0,839.0,269.0,110.0,235.0,421.0,363.0,529.0,698.0,79.15
80,서울혜화경찰서,2018,4.0,0.0,1222.0,232.0,0.0,36.0,0.0,56.0,0.0,0.0,24.0,3.0,64.0,10.0,0.0,1.0,18.0,0.0,7.0,51.0,0.0,9.0,0.0,990.0,2.0,419.0,1023.0,486.0,65.0,1.0,64.0,535.0,617.0,293.0,64.0,135.0,215.0,240.0,530.0,454.0,72.69999999999997
81,충남세종경찰서,2018,1.0,0.0,524.0,698.0,1.0,15.0,0.0,128.0,0.0,0.0,5.0,2.0,126.0,1.0,0.0,0.0,16.0,0.0,34.0,65.0,0.0,5.0,0.0,1090.0,2.0,31.0,834.0,471.0,67.0,15.0,121.0,439.0,555.0,176.0,66.0,190.0,171.0,253.0,346.0,412.0,80.30000000000003
82,경기수원남부경찰서,2019,0.0,3.0,3383.0,1403.0,0.0,49.0,0.0,296.0,0.0,2.0,51.0,3.0,186.0,22.0,0.0,3.0,44.0,5.0,50.0,217.0,0.0,123.0,0.0,3923.0,6.0,605.0,3081.0,1745.0,361.0,31.0,442.0,2469.0,1552.0,330.0,363.0,543.0,1231.0,885.0,1041.0,1487.0,77.44999999999997
83,경기수원서부경찰서,2019,1.0,0.0,1827.0,1198.0,0.0,18.0,0.0,134.0,0.0,0.0,75.0,1.0,76.0,19.0,0.0,0.0,33.0,7.0,11.0,182.0,0.0,14.0,0.0,2565.0,5.0,340.0,1958.0,1101.0,194.0,17.0,254.0,1255.0,1178.0,354.0,195.0,273.0,552.0,506.0,812.0,1110.0,73.15
84,경기수원중부경찰서,2019,4.0,1.0,2389.0,1022.0,0.0,49.0,0.0,112.0,0.0,0.0,31.0,3.0,126.0,17.0,0.0,3.0,85.0,1.0,40.0,186.0,0.0,16.0,0.0,2633.0,4.0,494.0,1970.0,1347.0,291.0,34.0,220.0,1063.0,1507.0,493.0,291.0,317.0,612.0,568.0,880.0,1231.0,78.1
85,경남마산동부경찰서,2019,0.0,16.0,831.0,844.0,0.0,14.0,0.0,30.0,0.0,0.0,3.0,1.0,85.0,26.0,0.0,1.0,48.0,0.0,19.0,67.0,0.0,0.0,0.0,1325.0,3.0,163.0,999.0,595.0,144.0,9.0,103.0,508.0,691.0,281.0,146.0,217.0,364.0,231.0,358.0,568.0,75.55
86,경남마산중부경찰서,2019,0.0,2.0,756.0,311.0,0.0,17.0,0.0,11.0,0.0,0.0,8.0,1.0,65.0,7.0,0.0,0.0,61.0,1.0,2.0,32.0,0.0,8.0,0.0,876.0,1.0,51.0,655.0,383.0,67.0,4.0,55.0,266.0,482.0,231.0,67.0,136.0,253.0,138.0,232.0,346.0,80.3
87,경남진주경찰서,2019,0.0,0.0,1586.0,964.0,0.0,15.0,0.0,98.0,0.0,0.0,15.0,1.0,184.0,9.0,0.0,3.0,200.0,1.0,9.0,78.0,0.0,24.0,0.0,2003.0,0.0,166.0,1555.0,922.0,201.0,13.0,191.0,830.0,1013.0,431.0,200.0,374.0,466.0,415.0,558.0,865.0,77.30000000000003
88,경남진해경찰서,2019,0.0,0.0,609.0,512.0,1.0,7.0,0.0,26.0,0.0,1.0,2.0,2.0,93.0,8.0,0.0,1.0,9.0,0.0,26.0,27.0,0.0,6.0,0.0,918.0,3.0,65.0,677.0,403.0,78.0,6.0,94.0,367.0,466.0,146.0,79.0,129.0,232.0,162.0,258.0,377.0,76.05
89,경남창원서부경찰서,2019,0.0,0.0,734.0,683.0,0.0,12.0,0.0,155.0,0.0,0.0,26.0,1.0,71.0,22.0,0.0,0.0,151.0,1.0,4.0,62.0,0.0,5.0,0.0,1184.0,2.0,107.0,947.0,522.0,141.0,1.0,54.0,494.0,707.0,213.0,141.0,208.0,317.0,216.0,350.0,519.0,78.55
90,경남창원중부경찰서,2019,0.0,0.0,879.0,1049.0,0.0,33.0,0.0,81.0,0.0,1.0,7.0,2.0,131.0,20.0,0.0,0.0,162.0,1.0,11.0,56.0,0.0,22.0,0.0,1541.0,7.0,97.0,1245.0,622.0,183.0,10.0,128.0,881.0,685.0,163.0,183.0,231.0,558.0,286.0,417.0,558.0,79.19999999999997
91,서울강남경찰서,2019,0.0,0.0,1761.0,1700.0,1.0,31.0,0.0,74.0,0.0,0.0,7.0,1.0,190.0,23.0,0.0,2.0,65.0,7.0,106.0,114.0,0.0,18.0,0.0,2663.0,17.0,368.0,1898.0,1322.0,354.0,6.0,202.0,1940.0,846.0,222.0,358.0,429.0,757.0,611.0,825.0,952.0,82.15
92,서울강동경찰서,2019,4.0,0.0,2312.0,796.0,0.0,47.0,0.0,143.0,0.0,1.0,59.0,4.0,221.0,19.0,0.0,0.0,21.0,1.0,84.0,82.0,0.0,4.0,0.0,1982.0,4.0,940.0,2048.0,1149.0,165.0,15.0,255.0,1152.0,1306.0,466.0,168.0,332.0,601.0,560.0,827.0,1042.0,77.5
93,서울강북경찰서,2019,0.0,0.0,2213.0,465.0,0.0,56.0,1.0,509.0,0.0,1.0,108.0,3.0,116.0,51.0,1.0,1.0,20.0,0.0,49.0,93.0,0.0,3.0,0.0,2195.0,3.0,818.0,2024.0,1241.0,88.0,24.0,279.0,1230.0,1250.0,475.0,95.0,357.0,743.0,563.0,693.0,997.0,74.1
94,서울강서경찰서,2019,4.0,0.0,2418.0,1426.0,1.0,46.0,1.0,200.0,0.0,1.0,17.0,2.0,164.0,25.0,0.0,3.0,40.0,1.0,180.0,123.0,0.0,21.0,0.0,2977.0,3.0,575.0,2299.0,1494.0,321.0,31.0,279.0,1540.0,1419.0,523.0,322.0,430.0,705.0,674.0,1028.0,1277.0,74.85
95,서울관악경찰서,2019,1.0,0.0,2231.0,1775.0,1.0,63.0,0.0,253.0,0.0,1.0,46.0,4.0,232.0,39.0,0.0,4.0,15.0,1.0,22.0,167.0,0.0,17.0,0.0,2932.0,1.0,937.0,2597.0,1496.0,278.0,14.0,273.0,1935.0,1291.0,579.0,279.0,429.0,971.0,750.0,945.0,1276.0,73.15
96,서울광진경찰서,2019,0.0,0.0,1606.0,1397.0,0.0,38.0,0.0,89.0,0.0,1.0,75.0,1.0,147.0,57.0,0.0,1.0,48.0,3.0,112.0,53.0,0.0,5.0,1.0,2203.0,6.0,569.0,1862.0,1113.0,231.0,15.0,299.0,1353.0,1016.0,291.0,232.0,337.0,626.0,520.0,709.0,1014.0,77.65
97,서울구로경찰서,2019,1.0,0.0,2789.0,1038.0,1.0,69.0,0.0,162.0,0.0,0.0,46.0,0.0,118.0,10.0,0.0,0.0,24.0,4.0,17.0,156.0,0.0,5.0,0.0,3136.0,2.0,634.0,2501.0,1294.0,311.0,23.0,248.0,1399.0,1569.0,552.0,315.0,400.0,669.0,649.0,959.0,1429.0,72.85
98,서울금천경찰서,2019,0.0,0.0,1267.0,994.0,0.0,29.0,0.0,232.0,0.0,1.0,25.0,0.0,126.0,22.0,0.0,0.0,14.0,2.0,4.0,71.0,0.0,6.0,0.0,1673.0,3.0,627.0,1368.0,937.0,243.0,16.0,116.0,791.0,1052.0,329.0,244.0,228.0,469.0,388.0,605.0,858.0,72.1
99,서울남대문경찰서,2019,1.0,0.0,994.0,465.0,0.0,28.0,0.0,47.0,0.0,1.0,46.0,2.0,68.0,5.0,0.0,2.0,20.0,12.0,28.0,41.0,0.0,6.0,0.0,1039.0,2.0,357.0,908.0,566.0,108.0,1.0,31.0,727.0,547.0,172.0,104.0,105.0,127.0,241.0,627.0,482.0,79.7
100,서울노원경찰서,2019,0.0,2.0,2354.0,839.0,0.0,33.0,0.0,269.0,0.0,1.0,59.0,2.0,227.0,82.0,0.0,2.0,19.0,5.0,77.0,79.0,0.0,7.0,0.0,2486.0,6.0,565.0,1964.0,1274.0,319.0,36.0,315.0,1195.0,1215.0,478.0,318.0,437.0,644.0,552.0,849.0,1075.0,79.5
101,서울도봉경찰서,2019,0.0,4.0,1017.0,652.0,0.0,35.0,0.0,56.0,0.0,1.0,56.0,1.0,74.0,14.0,0.0,0.0,11.0,4.0,39.0,59.0,0.0,5.0,0.0,1337.0,1.0,276.0,1075.0,601.0,145.0,8.0,108.0,555.0,715.0,288.0,147.0,189.0,322.0,256.0,424.0,630.0,79.65
102,서울동대문경찰서,2019,0.0,0.0,1957.0,836.0,0.0,41.0,0.0,218.0,0.0,0.0,42.0,1.0,170.0,40.0,0.0,1.0,16.0,2.0,146.0,86.0,0.0,4.0,0.0,1974.0,4.0,650.0,1873.0,988.0,233.0,12.0,145.0,1005.0,1179.0,519.0,234.0,265.0,591.0,540.0,744.0,954.0,75.8
103,서울동작경찰서,2019,0.0,0.0,1601.0,983.0,0.0,42.0,0.0,52.0,0.0,1.0,155.0,1.0,161.0,17.0,0.0,0.0,9.0,1.0,62.0,77.0,0.0,3.0,0.0,2020.0,1.0,482.0,1592.0,998.0,244.0,12.0,188.0,1081.0,905.0,405.0,243.0,260.0,449.0,521.0,680.0,924.0,76.75
104,서울마포경찰서,2019,0.0,2.0,1823.0,1680.0,0.0,35.0,0.0,90.0,0.0,1.0,14.0,0.0,139.0,30.0,0.0,7.0,26.0,1.0,34.0,104.0,1.0,11.0,0.0,2527.0,8.0,757.0,2171.0,1246.0,228.0,14.0,331.0,1853.0,910.0,306.0,231.0,347.0,1020.0,561.0,725.0,992.0,80.95
105,서울방배경찰서,2019,1.0,0.0,452.0,275.0,0.0,17.0,0.0,41.0,0.0,1.0,3.0,0.0,62.0,8.0,0.0,0.0,1.0,0.0,14.0,20.0,0.0,5.0,0.0,507.0,0.0,173.0,487.0,259.0,44.0,6.0,55.0,278.0,294.0,113.0,44.0,89.0,119.0,143.0,189.0,250.0,83.55
106,서울서대문경찰서,2019,0.0,13.0,1420.0,783.0,0.0,40.0,0.0,76.0,0.0,1.0,77.0,1.0,104.0,15.0,0.0,1.0,25.0,7.0,53.0,74.0,0.0,6.0,0.0,1701.0,5.0,418.0,1362.0,886.0,162.0,12.0,175.0,989.0,737.0,334.0,163.0,237.0,448.0,387.0,564.0,774.0,79.5
107,서울서부경찰서,2019,1.0,0.0,850.0,366.0,1.0,12.0,0.0,34.0,0.0,1.0,13.0,0.0,47.0,10.0,1.0,0.0,17.0,1.0,9.0,31.0,0.0,22.0,0.0,850.0,1.0,289.0,723.0,442.0,113.0,9.0,86.0,439.0,444.0,187.0,113.0,124.0,264.0,191.0,305.0,394.0,76.6
108,서울서초경찰서,2019,0.0,0.0,1941.0,1333.0,0.0,32.0,0.0,116.0,0.0,0.0,18.0,3.0,180.0,26.0,0.0,1.0,60.0,2.0,50.0,80.0,1.0,7.0,0.0,2395.0,7.0,628.0,1862.0,1270.0,308.0,13.0,265.0,1731.0,850.0,269.0,312.0,337.0,758.0,715.0,787.0,843.0,84.19999999999997
109,서울성동경찰서,2019,0.0,0.0,1306.0,734.0,0.0,24.0,0.0,74.0,0.0,0.0,29.0,0.0,86.0,17.0,0.0,0.0,11.0,0.0,16.0,35.0,0.0,5.0,0.0,1426.0,2.0,569.0,1327.0,656.0,184.0,11.0,130.0,863.0,722.0,258.0,183.0,234.0,389.0,353.0,503.0,688.0,78.30000000000003
110,서울성북경찰서,2019,0.0,0.0,689.0,247.0,0.0,17.0,0.0,65.0,0.0,0.0,23.0,0.0,68.0,7.0,0.0,1.0,7.0,1.0,12.0,40.0,0.0,1.0,1.0,676.0,2.0,225.0,619.0,394.0,28.0,4.0,84.0,398.0,343.0,184.0,28.0,116.0,196.0,209.0,228.0,292.0,79.5
111,서울송파경찰서,2019,0.0,0.0,3194.0,1287.0,2.0,51.0,0.0,99.0,0.0,0.0,38.0,1.0,342.0,29.0,0.0,1.0,40.0,2.0,86.0,95.0,0.0,5.0,0.0,3176.0,8.0,886.0,2786.0,1546.0,339.0,34.0,282.0,1878.0,1650.0,490.0,337.0,584.0,759.0,765.0,1148.0,1415.0,83.4
112,서울수서경찰서,2019,0.0,0.0,760.0,1205.0,0.0,22.0,0.0,63.0,0.0,0.0,17.0,1.0,225.0,11.0,0.0,1.0,10.0,5.0,88.0,45.0,0.0,5.0,0.0,1321.0,3.0,352.0,1205.0,712.0,150.0,10.0,140.0,803.0,729.0,231.0,154.0,307.0,345.0,375.0,479.0,561.0,83.65
113,서울양천경찰서,2019,3.0,0.0,1652.0,934.0,0.0,40.0,0.0,78.0,0.0,2.0,38.0,1.0,100.0,13.0,0.0,5.0,22.0,1.0,84.0,47.0,0.0,5.0,0.0,2019.0,1.0,449.0,1599.0,938.0,210.0,32.0,311.0,799.0,1007.0,387.0,211.0,251.0,447.0,450.0,689.0,910.0,80.4
114,서울영등포경찰서,2019,2.0,2.0,3214.0,1544.0,0.0,48.0,0.0,75.0,0.0,1.0,30.0,3.0,164.0,35.0,0.0,1.0,36.0,5.0,56.0,119.0,0.0,8.0,0.0,3552.0,3.0,934.0,3034.0,1568.0,314.0,21.0,257.0,1860.0,1755.0,708.0,315.0,480.0,761.0,755.0,1296.0,1624.0,73.05000000000003
115,서울용산경찰서,2019,0.0,0.0,1019.0,1405.0,0.0,27.0,0.0,102.0,0.0,0.0,9.0,1.0,196.0,18.0,0.0,1.0,8.0,1.0,69.0,45.0,0.0,7.0,0.0,1508.0,6.0,702.0,1577.0,788.0,197.0,4.0,106.0,1239.0,763.0,252.0,198.0,301.0,755.0,442.0,452.0,612.0,81.95
116,서울은평경찰서,2019,1.0,9.0,1059.0,607.0,7.0,22.0,0.0,258.0,0.0,1.0,11.0,0.0,91.0,12.0,0.0,4.0,15.0,0.0,26.0,72.0,0.0,2.0,0.0,1348.0,0.0,405.0,1077.0,749.0,149.0,15.0,142.0,715.0,699.0,255.0,149.0,184.0,343.0,262.0,505.0,681.0,75.95
117,서울종로경찰서,2019,1.0,12.0,1220.0,407.0,1.0,15.0,0.0,106.0,0.0,0.0,36.0,3.0,72.0,16.0,0.0,3.0,14.0,1.0,35.0,58.0,0.0,3.0,0.0,1094.0,0.0,499.0,1117.0,551.0,130.0,5.0,63.0,653.0,662.0,286.0,129.0,179.0,234.0,267.0,513.0,605.0,85.25
118,서울종암경찰서,2019,1.0,1.0,702.0,599.0,0.0,23.0,0.0,43.0,0.0,0.0,12.0,0.0,94.0,12.0,0.0,0.0,16.0,1.0,8.0,53.0,0.0,3.0,0.0,914.0,3.0,277.0,782.0,487.0,112.0,11.0,81.0,407.0,531.0,239.0,112.0,148.0,229.0,224.0,352.0,428.0,75.8
119,서울중랑경찰서,2019,3.0,0.0,2051.0,1395.0,0.0,49.0,0.0,225.0,0.0,0.0,75.0,1.0,163.0,16.0,0.0,0.0,33.0,3.0,126.0,158.0,0.0,10.0,0.0,2700.0,3.0,585.0,2145.0,1402.0,251.0,24.0,252.0,1185.0,1532.0,555.0,250.0,401.0,636.0,648.0,878.0,1235.0,71.85
120,서울중부경찰서,2019,2.0,0.0,1475.0,295.0,0.0,67.0,0.0,170.0,0.0,4.0,36.0,0.0,84.0,33.0,0.0,2.0,28.0,3.0,5.0,46.0,0.0,2.0,0.0,1377.0,1.0,468.0,1270.0,683.0,96.0,10.0,91.0,869.0,712.0,271.0,96.0,212.0,387.0,330.0,493.0,627.0,77.4
121,서울혜화경찰서,2019,0.0,0.0,999.0,265.0,1.0,32.0,0.0,30.0,0.0,1.0,14.0,0.0,63.0,10.0,0.0,1.0,6.0,0.0,16.0,65.0,0.0,3.0,0.0,841.0,4.0,333.0,806.0,449.0,87.0,3.0,43.0,476.0,496.0,238.0,86.0,109.0,192.0,206.0,425.0,410.0,74.6
122,충남세종경찰서,2019,0.0,0.0,559.0,759.0,1.0,9.0,0.0,87.0,0.0,0.0,3.0,3.0,114.0,6.0,0.0,0.0,17.0,2.0,26.0,55.0,0.0,5.0,0.0,1153.0,0.0,37.0,792.0,542.0,84.0,9.0,133.0,493.0,550.0,149.0,84.0,149.0,153.0,255.0,406.0,455.0,80.05000000000003
