관할서,연도,crm_wthr_눈,crm_wthr_만월,crm_wthr_맑음,crm_wthr_미상,crm_wthr_비,crm_wthr_암흑,crm_wthr_흐림,crm_clue_고발,crm_clue_고소,crm_clue_기타,crm_clue_변사체,crm_clue_불심검문,crm_clue_여죄,crm_clue_자수,crm_clue_진정,crm_clue_타인신고,crm_clue_탐문정보,crm_clue_피해자신고,crm_clue_현행범,vic_sx_1,vic_sx_2,vic_sx_3,vic_age_0_12세,vic_age_10대,vic_age_2_30대,vic_age_4_50대,vic_age_60세초과,vic_age_미상,crm_tm_미상,crm_tm_새벽,crm_tm_오전,crm_tm_오후,crm_tm_저녁,강도살인_발생수,강도살인_검거수,강도살인_검거율,화재건수,화재_사망,화재_부상,화재_인명피해_계,화재_부동산피해_천원,화재_동산피해_천원,화재_재산피해_천원,화재_재산피해_건당천원,cctv_개수,공원_개수,배치인원_수,보안등_개수,비상벨_개수,유흥업소_개수,일인가구수,자살건수,자살_사망률_10만명당,자살_연령표준화사망률_10만명당,총_인구수,기초수급_19세이하,기초수급_20_34세,기초수급_35_59세,기초수급_60세이상,기초수급_총합,외국인수,score_강살
서울양천경찰서,2018,0,0,3,2,0,2,0,0,0,0,0,0,2,0,0,0,0,1,4,4,3,0,0,0,3,1,3,0,0,5,0,0,2,5,6,1.2,219.0,1,11.0,12.0,136819.0,220750.0,357569.0,1633.0,2921,95,376,7113,624.0,72,34304.0,22,9.4,7.6,445591,34353,9758,35547,46213,125871,8418,80.94999999999997
서울영등포경찰서,2018,0,0,13,8,1,0,1,2,1,3,1,0,1,0,0,1,0,6,8,16,5,2,1,1,5,12,3,1,2,4,4,6,7,8,7,0.875,258.0,4,23.0,27.0,228065.0,476128.0,704193.0,2729.0,3775,44,513,7951,952.0,342,53477.0,25,13.8,12.6,395286,14291,4965,27787,42434,89477,56483,74.75
서울용산경찰서,2018,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0,0,1,2,0,0,0,0,2,0,1,5,6,1.2,211.0,1,6.0,7.0,123288.0,271615.0,394903.0,1872.0,2051,45,343,9980,996.0,122,34240.0,18,16.0,14.6,226938,12180,3455,21583,32765,69983,20841,81.25
서울은평경찰서,2018,0,0,4,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,3,1,5,0,0,0,2,1,3,0,0,2,1,2,1,6,5,0.833,214.0,5,10.0,15.0,217662.0,201841.0,419503.0,1960.0,1796,54,203,4502,255.0,117,30414.0,39,15.9,13.4,297613,48561,15383,52463,71341,187748,5338,77.55
서울종로경찰서,2018,0,0,5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5,6,1,0,0,0,0,4,3,0,1,0,3,2,1,2,4,2.0,254.0,14,22.0,36.0,279955.0,294345.0,574300.0,2261.0,805,29,285,5259,68.0,150,34042.0,8,10.6,9.6,77077,6604,2155,12664,22408,43831,3395,84.15
서울종암경찰서,2018,0,0,2,3,0,0,1,0,1,0,0,0,0,0,0,0,0,2,3,5,0,1,0,0,0,3,2,1,1,2,1,1,1,1,1,1.0,215.0,0,10.0,10.0,184258.0,303307.0,487565.0,2268.0,1855,22,176,5751,442.0,21,23329.0,35,15.8,13.6,180778,34363,11267,40341,57460,143431,6752,76.65
서울중랑경찰서,2018,0,0,4,4,0,0,0,0,0,0,1,0,0,0,0,2,0,2,3,3,4,1,0,1,1,4,1,1,0,1,1,2,4,13,10,0.769,254.0,2,8.0,10.0,103281.0,98140.0,201421.0,793.0,4469,54,406,8132,1682.0,115,49207.0,26,12.9,10.1,391668,48897,12032,54011,67751,182691,9132,73.2
서울중부경찰서,2018,0,0,3,1,2,0,0,0,0,0,1,0,0,0,0,1,0,4,0,2,4,0,0,0,1,3,2,0,0,1,2,0,3,10,9,0.9,275.0,0,23.0,23.0,558830.0,698175.0,1257005.0,4571.0,1563,14,236,4933,332.0,206,17884.0,7,11.4,9.7,102868,7397,2133,13901,23622,47053,10736,80.6
서울혜화경찰서,2018,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,2,1,0,1,0,0,2,0,5,9,1.8,254.0,14,22.0,36.0,279955.0,294345.0,574300.0,2261.0,784,13,213,4256,42.0,143,40058.0,8,10.6,9.6,75988,6604,2155,12664,22408,43831,9617,75.35
충남세종경찰서,2018,0,0,5,5,0,0,0,0,0,0,1,0,0,0,0,3,0,3,3,6,4,0,1,2,4,2,1,0,0,3,1,3,3,3,4,1.3330000000000002,236.0,3,50.0,53.0,8548417.0,1773184.0,10321601.0,43736.0,2527,88,178,10410,39.0,66,35763.0,21,14.2,12.2,312374,13824,3147,12756,17874,47601,8187,81.44999999999997
경기수원남부경찰서,2019,0,0,12,1,1,3,0,0,1,0,0,0,0,0,0,5,0,6,5,8,9,0,0,2,4,9,2,0,2,5,0,3,7,7,10,1.429,152.0,1,9.0,10.0,1329649.0,2179521.0,3509170.0,31093.0,4719,148,395,3671,79.0,223,61423.0,29,16.2,16.1,509352,51840,16442,72299,107942,248523,16482,79.15
경기수원서부경찰서,2019,0,0,4,3,1,0,0,0,0,0,1,0,0,0,0,2,0,2,3,4,4,0,1,0,3,3,1,0,0,2,1,0,5,14,15,1.071,164.0,0,16.0,16.0,503378.0,660681.0,1164059.0,9459.0,2919,102,258,3961,62.0,79,30996.0,61,20.75,17.85,294591,51840,16442,72299,107942,248523,27419,75.0
경기수원중부경찰서,2019,0,0,4,3,0,0,0,0,0,1,0,0,0,0,0,2,0,2,2,2,5,0,0,0,2,3,2,0,2,1,0,3,1,8,10,1.25,137.0,0,8.0,8.0,434748.0,428111.0,862859.0,8160.0,4447,96,333,6736,48.0,157,44304.0,20,14.4,13.2,390522,51840,16442,72299,107942,248523,22453,79.8
경남마산동부경찰서,2019,0,1,3,2,0,1,0,0,0,1,1,0,0,0,0,2,0,2,1,4,3,0,0,0,3,3,1,0,2,2,1,1,1,1,1,1.0,85.0,1,3.0,4.0,94566.0,125708.0,220274.0,2591.0,1218,65,185,5647,11.0,337,20331.0,15,15.5,18.8,192446,76041,21576,97938,139708,335263,4431,77.35
경남마산중부경찰서,2019,0,0,4,3,0,0,0,0,1,0,1,0,0,0,0,1,0,2,2,3,4,0,0,0,0,4,3,0,2,1,2,1,1,2,2,1.0,129.0,1,4.0,5.0,246655.0,979273.0,1225928.0,9503.0,913,55,142,6843,13.0,487,23383.0,10,11.2,11.7,192446,76041,21576,97938,139708,335263,3897,80.25
경남진주경찰서,2019,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,3,2,0,0,0,1,3,1,0,0,1,0,1,3,10,9,0.9,260.0,1,3.0,4.0,496350.0,686827.0,1183177.0,4551.0,2709,127,289,6153,168.0,370,44003.0,28,16.1,15.1,354166,36456,10784,47973,57053,152266,9741,78.6
경남진해경찰서,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,9,14,1.556,138.0,2,4.0,6.0,164990.0,381914.0,546904.0,3963.0,1142,106,137,3218,39.0,304,20962.0,15,15.9,16.0,190885,76041,21576,97938,139708,335263,6383,79.1
경남창원서부경찰서,2019,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,1,4,0,0,0,3,2,0,0,0,1,1,2,1,16,18,1.125,163.0,0,5.0,5.0,202946.0,741553.0,944499.0,5794.0,1050,140,155,6078,11.0,332,22109.0,27,21.6,20.6,189712,76041,21576,97938,139708,335263,4670,80.35
경남창원중부경찰서,2019,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,3,2,0,0,0,3,2,0,0,0,3,0,2,0,8,9,1.125,132.0,1,2.0,3.0,213408.0,411795.0,625203.0,4736.0,1429,136,201,2895,21.0,566,28368.0,10,9.2,9.2,289815,76041,21576,97938,139708,335263,8720,81.19999999999997
서울강남경찰서,2019,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,5,0,0,0,2,1,2,0,1,1,0,1,2,9,7,0.778,456.0,1,23.0,24.0,900260.0,777421.0,1677681.0,3679.0,3095,24,421,5031,636.0,297,47075.0,54,19.5,19.2,321787,21689,13134,39921,65581,140325,8561,83.65
서울강동경찰서,2019,0,0,13,5,0,0,1,0,1,1,0,0,0,0,0,1,1,7,8,14,4,1,0,2,5,9,2,1,1,4,3,8,3,3,4,1.3330000000000002,254.0,1,10.0,11.0,166909.0,366450.0,533359.0,2100.0,2619,72,393,7505,2.0,213,45188.0,42,19.5,17.1,415287,24731,10066,39772,53914,128483,9131,79.15
서울강북경찰서,2019,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,1,2,2,0,1,0,1,2,1,5,4,0.8,167.0,1,9.0,10.0,76389.0,141416.0,217805.0,1304.0,2299,41,347,8430,22.0,184,42791.0,25,15.7,13.0,303871,37423,15119,60537,88327,201406,7530,77.0
서울강서경찰서,2019,0,0,6,5,0,0,0,0,0,0,4,0,0,1,0,1,2,1,2,6,5,0,1,1,2,1,6,0,1,3,3,1,3,7,17,2.4290000000000003,331.0,0,24.0,24.0,251606.0,414691.0,666297.0,2013.0,2377,139,500,8573,822.0,289,79371.0,42,13.9,11.6,574097,41124,22264,81165,130523,275076,13197,74.5
서울관악경찰서,2019,0,0,10,4,2,1,1,0,0,1,0,0,0,0,0,3,0,5,9,9,7,2,1,0,8,4,3,2,1,5,6,2,4,7,8,1.143,311.0,3,6.0,9.0,312837.0,341749.0,654586.0,2105.0,4825,78,493,11882,951.0,272,119863.0,39,15.9,13.9,507828,28421,15909,54953,81176,180459,30247,74.5
서울광진경찰서,2019,0,0,4,4,0,0,0,0,0,0,1,0,0,0,0,3,1,3,0,4,4,0,0,1,2,2,3,0,2,3,2,0,1,16,18,1.125,195.0,0,8.0,8.0,145574.0,247269.0,392843.0,2015.0,6459,34,380,9132,1495.0,93,58714.0,23,12.8,9.9,359766,23511,9205,34348,43811,110875,23823,78.44999999999997
서울구로경찰서,2019,0,0,10,2,0,1,0,0,1,1,0,0,0,1,0,3,0,5,2,8,5,0,0,0,3,8,2,0,3,2,2,5,1,23,21,0.9129999999999999,247.0,0,7.0,7.0,157597.0,254232.0,411829.0,1667.0,3659,45,395,7816,819.0,107,47740.0,26,12.8,11.8,435560,21749,8064,30709,50532,111054,54937,74.9
서울금천경찰서,2019,0,0,3,6,0,1,0,0,1,0,0,0,0,0,0,2,0,2,5,7,3,0,0,0,2,6,2,0,0,1,2,4,3,12,13,1.083,141.0,0,4.0,4.0,178251.0,493516.0,671767.0,4764.0,4226,50,274,6260,567.0,118,37778.0,23,20.4,19.4,249747,21128,8770,35542,52484,117924,32851,73.2
서울남대문경찰서,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5,5,1.0,213.0,3,17.0,20.0,5135961.0,68941136.0,74077097.0,347780.0,725,16,186,1137,176.0,88,3492.0,5,8.1,8.8,22853,6833,2472,14862,28268,52435,2300,82.0
서울노원경찰서,2019,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,2,4,3,0,0,1,2,1,3,0,0,1,2,1,3,3,3,1.0,203.0,0,6.0,6.0,44268.0,141374.0,185642.0,914.0,1998,167,415,4078,61.0,63,53365.0,40,14.6,11.9,522480,51537,28793,96356,140258,316944,8300,81.0
서울도봉경찰서,2019,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,0,0,1,1,2,0,1,1,1,0,1,6,7,1.167,179.0,3,8.0,11.0,424291.0,344157.0,768448.0,4293.0,10,71,273,6337,622.0,68,32653.0,27,15.9,14.0,323543,32365,11052,40627,54373,138417,5027,81.55
서울동대문경찰서,2019,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,2,1,4,7,9,5,0,0,2,5,4,3,0,4,3,1,3,3,5,5,1.0,195.0,5,21.0,26.0,233398.0,636944.0,870342.0,4463.0,26,14,429,10730,4.0,150,58152.0,23,13.5,12.2,355094,24605,9344,43252,75416,152617,23645,79.1
서울동작경찰서,2019,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,3,0,2,0,1,0,1,0,1,0,1,1,1,6,5,0.833,208.0,2,10.0,12.0,86519.0,92724.0,179243.0,862.0,2033,53,353,8848,1007.0,83,60088.0,24,12.0,9.2,400368,19403,9690,34013,54529,117635,20697,78.1
서울마포경찰서,2019,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,2,1,1,0,0,1,0,1,2,2,3,1.5,246.0,0,13.0,13.0,163683.0,229742.0,393425.0,1599.0,2317,82,458,7628,780.0,121,59248.0,27,14.0,11.8,369327,15671,8696,28149,47341,99857,16416,82.85
서울방배경찰서,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5,7,1.4,242.0,2,42.0,44.0,300794.0,669453.0,970247.0,4009.0,2691,25,141,3231,4.0,24,10829.0,26,11.8,11.6,133979,12915,6232,19512,29423,68082,2832,83.6
서울서대문경찰서,2019,0,0,4,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,3,2,0,0,0,0,4,1,0,2,1,1,0,1,7,4,0.5710000000000001,269.0,1,12.0,13.0,109764.0,111196.0,220960.0,821.0,2938,58,322,6938,388.0,75,46449.0,33,21.0,17.3,319394,20887,7284,27027,45810,101008,18179,81.0
서울서부경찰서,2019,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,4,6,1.5,196.0,3,20.0,23.0,1901761.0,511008.0,2412769.0,12310.0,1870,46,221,3546,221.0,96,22652.0,38,15.5,12.8,189190,45265,18558,62819,95037,221679,3875,77.35
서울서초경찰서,2019,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,4,1,0,0,0,3,1,1,0,6,5,0.833,242.0,2,42.0,44.0,300794.0,669453.0,970247.0,4009.0,4237,88,339,4405,5.0,115,31823.0,26,11.8,11.6,296847,12915,6232,19512,29423,68082,6224,86.35
서울성동경찰서,2019,0,0,10,1,1,1,1,0,1,0,0,0,0,0,0,4,0,7,2,3,10,1,0,0,4,8,1,1,3,4,3,1,3,6,7,1.167,194.0,2,7.0,9.0,119319.0,604898.0,724217.0,3733.0,3241,54,320,6228,792.0,62,41488.0,16,10.5,10.2,299688,16622,7134,29103,44632,97491,14042,81.3
서울성북경찰서,2019,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,3,4,1.3330000000000002,191.0,0,10.0,10.0,241464.0,222877.0,464341.0,2431.0,2015,29,252,7048,535.0,36,35292.0,30,13.5,11.3,251646,31361,11882,43894,69254,156391,10865,82.9
서울송파경찰서,2019,0,0,11,4,0,1,0,0,2,1,0,0,0,0,1,1,0,7,4,12,4,0,0,2,10,1,3,0,2,7,2,0,5,7,9,1.286,335.0,2,19.0,21.0,330243.0,628586.0,958829.0,2862.0,2096,140,538,8817,64.0,241,68861.0,40,11.7,9.6,648600,32727,14377,45428,58345,150877,14126,86.2
서울수서경찰서,2019,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,2,1,0,0,1,0,0,2,0,8,8,1.0,456.0,1,23.0,24.0,900260.0,777421.0,1677681.0,3679.0,3124,70,312,3031,738.0,115,20502.0,54,19.5,19.2,223382,21689,13134,39921,65581,140325,3174,82.69999999999997
서울양천경찰서,2019,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,4,3,0,0,1,2,2,2,0,0,3,1,1,2,12,15,1.25,163.0,2,7.0,9.0,107052.0,358668.0,465720.0,2857.0,2921,95,376,7113,677.0,72,36345.0,32,13.8,13.4,440354,33580,12197,43041,64917,153735,9138,81.5
서울영등포경찰서,2019,0,0,8,3,0,0,1,0,0,0,0,0,0,0,0,2,0,2,8,6,5,1,0,0,3,6,2,1,1,1,2,1,7,6,6,1.0,265.0,1,48.0,49.0,344748.0,2755206.0,3099954.0,11698.0,3775,44,513,7951,958.0,342,58214.0,21,11.6,10.3,394083,12911,5546,30674,51952,101083,55524,76.75
서울용산경찰서,2019,0,0,2,3,0,1,0,0,1,0,0,0,0,0,0,2,0,2,1,4,1,1,0,0,1,3,1,1,1,2,0,2,1,6,8,1.3330000000000002,238.0,0,5.0,5.0,100283.0,167582.0,267865.0,1125.0,2051,45,343,9980,1024.0,122,35148.0,13,11.5,11.1,227181,11199,4119,24104,39212,78634,22332,84.6
서울은평경찰서,2019,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,5,5,1.0,196.0,3,20.0,23.0,1901761.0,511008.0,2412769.0,12310.0,1796,54,203,4502,276.0,117,32420.0,38,15.5,12.8,290842,45265,18558,62819,95037,221679,5626,79.0
서울종로경찰서,2019,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,4,0,0,1,0,1,2,0,0,0,0,0,4,0,5,5,1.0,232.0,4,16.0,20.0,403054.0,398040.0,801094.0,3453.0,805,29,285,5259,68.0,150,34961.0,9,12.0,11.4,75958,5756,2573,14071,25508,47908,3554,86.3
서울종암경찰서,2019,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,2,1,0,0,1,0,2,0,3,3,1.0,191.0,0,10.0,10.0,241464.0,222877.0,464341.0,2431.0,1855,22,176,5751,499.0,21,24317.0,30,13.5,11.3,191004,31361,11882,43894,69254,156391,7111,79.35
서울중랑경찰서,2019,0,0,9,1,0,1,1,0,0,0,2,0,0,0,0,4,0,3,3,6,6,0,0,0,4,7,1,0,2,5,4,1,0,3,3,1.0,210.0,1,9.0,10.0,95365.0,227285.0,322650.0,1536.0,4469,54,406,8132,1778.0,115,52196.0,35,17.6,15.4,386331,46485,15246,64943,92574,219248,9785,74.85
서울중부경찰서,2019,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,4,1,0,0,1,3,0,1,0,0,2,1,0,2,7,8,1.143,213.0,3,17.0,20.0,5135961.0,68941136.0,74077097.0,347780.0,1563,14,236,4933,339.0,206,18597.0,5,8.1,8.8,103318,6833,2472,14862,28268,52435,11496,79.75
서울혜화경찰서,2019,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,0,0,1,2,0,0,0,0,0,1,1,1,10,10,1.0,232.0,4,16.0,20.0,403054.0,398040.0,801094.0,3453.0,784,13,213,4256,42.0,143,41063.0,9,12.0,11.4,75332,5756,2573,14071,25508,47908,10641,75.2
충남세종경찰서,2019,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,2,2,3,1.5,191.0,0,8.0,8.0,995712.0,1699780.0,2695492.0,14113.0,2527,88,178,10410,39.0,66,39078.0,30,18.4,18.2,338136,16060,4101,15794,22678,58633,9814,82.4
